-45	-61.875	-33.75	-67.5	#FFEDA0
-45	-56.25	-33.75	-61.875	#FFEDA0
-33.75	-45	-22.5	-50.625	#FFEDA0
-33.75	-50.625	-22.5	-56.25	#FFEDA0
-45	-50.625	-33.75	-56.25	#FFEDA0
-11.25	-73.125	0	-78.75	#FFEDA0
-22.5	-73.125	-11.25	-78.75	#FFEDA0
-22.5	-67.5	-11.25	-73.125	#FFEDA0
-11.25	-78.75	0	-84.375	#FFEDA0
-33.75	-67.5	-22.5	-73.125	#FFEDA0
-56.25	-67.5	-45	-73.125	#FFEDA0
-22.5	61.875	-11.25	56.25	#FFEDA0
-22.5	50.625	-11.25	45	#FFEDA0
-11.25	45	0	39.375	#FFEDA0
-11.25	39.375	0	33.75	#FFEDA0
-11.25	33.75	0	28.125	#FFEDA0
-22.5	33.75	-11.25	28.125	#FFEDA0
-33.75	33.75	-22.5	28.125	#FFEDA0
-33.75	28.125	-22.5	22.5	#FFEDA0
-11.25	22.5	0	16.875	#FFEDA0
-11.25	16.875	0	11.25	#FFEDA0
-22.5	22.5	-11.25	16.875	#FFEDA0
-33.75	16.875	-22.5	11.25	#FFEDA0
-45	22.5	-33.75	16.875	#FFEDA0
-90	5.625	-78.75	0	#FFEDA0
-90	28.125	-78.75	22.5	#FFEDA0
-78.75	39.375	-67.5	33.75	#FFEDA0
-101.25	39.375	-90	33.75	#FFEDA0
